contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,option_type,expiry,ticker
AAPL260904C00185000,2026-08-10 18:19:19+00:00,185.0,122.19,119.35,123.2,0.0,0.0,1.0,1,0.96679720703125,True,REGULAR,USD,call,2026-09-04,AAPL
AAPL260904C00190000,2026-08-13 14:28:39+00:00,190.0,116.1,114.35,118.2,0.0,0.0,4.0,4,0.920899228515625,True,REGULAR,USD,call,2026-09-04,AAPL
AAPL260904C00195000,2026-08-05 18:38:10+00:00,195.0,113.88,109.35,113.2,0.0,0.0,1.0,1,0.875977802734375,True,REGULAR,USD,call,2026-09-04,AAPL
AAPL260904C00200000,2026-08-13 14:47:25+00:00,200.0,105.2,104.4,108.2,0.0,0.0,1.0,2,0.840821904296875,True,REGULAR,USD,call,2026-09-04,AAPL
AAPL260904C00220000,2026-08-04 14:09:38+00:00,220.0,85.8,84.45,88.3,0.0,0.0,1.0,19,0.6938507177734375,True,REGULAR,USD,call,2026-09-04,AAPL
AAPL260904C00225000,2026-08-10 18:28:01+00:00,225.0,82.44,79.45,83.3,0.0,0.0,1.0,2,0.6528355029296876,True,REGULAR,USD,call,2026-09-04,AAPL
AAPL260904C00230000,2026-08-05 19:27:27+00:00,230.0,80.25,74.45,78.3,0.0,0.0,,3,0.6127968408203126,True,REGULAR,USD,call,2026-09-04,AAPL
AAPL260904C00235000,2026-08-12 19:26:53+00:00,235.0,67.3,69.5,73.35,0.0,0.0,27.0,27,0.5835002587890624,True,REGULAR,USD,call,2026-09-04,AAPL
AAPL260904C00240000,2026-08-14 15:42:02+00:00,240.0,67.85,64.9,68.4,3.6299973,5.6524405,2.0,19,0.5835002587890624,True,REGULAR,USD,call,2026-09-04,AAPL
AAPL260904C00245000,2026-08-14 15:42:27+00:00,245.0,61.93,59.55,63.4,4.3499985,7.5547037,2.0,44,0.5139208764648437,True,REGULAR,USD,call,2026-09-04,AAPL
AAPL260904C00250000,2026-08-12 19:34:44+00:00,250.0,52.95,54.6,58.45,0.0,0.0,90.0,203,0.6787141503906251,True,REGULAR,USD,call,2026-09-04,AAPL
AAPL260904C00255000,2026-08-14 15:40:27+00:00,255.0,52.95,49.8,53.45,5.049999,10.542796,4.0,200,0.6289099609375001,True,REGULAR,USD,call,2026-09-04,AAPL
AAPL260904C00260000,2026-08-13 19:31:17+00:00,260.0,45.04,44.65,48.5,0.0,0.0,1.0,20,0.5827678442382812,True,REGULAR,USD,call,2026-09-04,AAPL
AAPL260904C00265000,2026-08-13 16:31:35+00:00,265.0,39.6,40.55,43.55,0.0,0.0,4.0,34,0.5365036584472658,True,REGULAR,USD,call,2026-09-04,AAPL
AAPL260904C00270000,2026-08-14 14:19:23+00:00,270.0,36.77,34.95,38.65,2.0200005,5.812951,5.0,42,0.4928029235839845,True,REGULAR,USD,call,2026-09-04,AAPL
AAPL260904C00275000,2026-08-14 15:48:25+00:00,275.0,31.94,30.9,32.85,4.0200005,14.398283,1.0,49,0.39417109741210943,True,REGULAR,USD,call,2026-09-04,AAPL
AAPL260904C00280000,2026-08-14 13:43:41+00:00,280.0,28.0,25.95,28.0,4.0,16.666666,1.0,95,0.35559726440429684,True,REGULAR,USD,call,2026-09-04,AAPL
AAPL260904C00285000,2026-08-14 19:57:11+00:00,285.0,22.27,21.55,23.0,0.47000122,2.155969,6.0,201,0.3067085931396484,True,REGULAR,USD,call,2026-09-04,AAPL
