contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,option_type,expiry,ticker
SPY260904C00500000,2026-08-06 18:43:23+00:00,500.0,270.33,275.81,278.5,0.0,0.0,,21,0.8491226025390625,True,REGULAR,USD,call,2026-09-04,SPY
SPY260904C00505000,2026-08-06 18:03:34+00:00,505.0,265.35,270.77,273.52,0.0,0.0,,4,0.8305681005859374,True,REGULAR,USD,call,2026-09-04,SPY
SPY260904C00510000,2026-08-06 17:58:00+00:00,510.0,260.37,265.78,268.52,0.0,0.0,,4,0.81445498046875,True,REGULAR,USD,call,2026-09-04,SPY
SPY260904C00515000,2026-08-06 17:58:08+00:00,515.0,255.39,260.85,263.54,0.0,0.0,,4,0.8042011767578124,True,REGULAR,USD,call,2026-09-04,SPY
SPY260904C00520000,2026-08-06 18:02:28+00:00,520.0,250.41,255.78,258.56,0.0,0.0,,10,0.7839377075195313,True,REGULAR,USD,call,2026-09-04,SPY
SPY260904C00530000,2026-07-27 19:57:56+00:00,530.0,211.87,245.89,248.59,0.0,0.0,,1,0.7602563037109377,True,REGULAR,USD,call,2026-09-04,SPY
SPY260904C00545000,2026-08-03 19:56:38+00:00,545.0,214.79,230.89,233.62,0.0,0.0,,1,0.7131376342773439,True,REGULAR,USD,call,2026-09-04,SPY
SPY260904C00550000,2026-07-31 14:33:52+00:00,550.0,193.2,225.87,228.64,0.0,0.0,5.0,10,0.6970245141601563,True,REGULAR,USD,call,2026-09-04,SPY
SPY260904C00555000,2026-08-06 15:53:40+00:00,555.0,215.57,220.92,223.65,0.0,0.0,,4,0.684573466796875,True,REGULAR,USD,call,2026-09-04,SPY
SPY260904C00560000,2026-08-11 20:00:01+00:00,560.0,212.14,215.98,218.67,0.0,0.0,11.0,12,0.673098972167969,True,REGULAR,USD,call,2026-09-04,SPY
SPY260904C00565000,2026-08-06 17:29:54+00:00,565.0,204.87,211.0,213.68,0.0,0.0,,9,0.6586948193359375,True,REGULAR,USD,call,2026-09-04,SPY
SPY260904C00570000,2026-08-06 17:48:13+00:00,570.0,200.15,205.96,208.7,0.0,0.0,12.0,14,0.6418492846679689,True,REGULAR,USD,call,2026-09-04,SPY
SPY260904C00580000,2026-08-12 18:30:53+00:00,580.0,194.85,196.04,198.74,0.0,0.0,1.0,1,0.6165809826660158,True,REGULAR,USD,call,2026-09-04,SPY
SPY260904C00585000,2026-08-12 13:32:25+00:00,585.0,189.64,190.98,193.75,0.0,0.0,5.0,7,0.5986368261718751,True,REGULAR,USD,call,2026-09-04,SPY
SPY260904C00600000,2026-07-28 17:54:33+00:00,600.0,144.57,176.11,178.8,0.0,0.0,,3,0.5603071313476562,True,REGULAR,USD,call,2026-09-04,SPY
SPY260904C00610000,2026-08-10 19:38:38+00:00,610.0,164.89,166.09,168.83,0.0,0.0,1.0,10,0.5300339965820313,True,REGULAR,USD,call,2026-09-04,SPY
SPY260904C00615000,2026-08-06 18:03:34+00:00,615.0,155.92,161.11,163.86,0.0,0.0,,4,0.5168505346679688,True,REGULAR,USD,call,2026-09-04,SPY
SPY260904C00620000,2026-08-07 19:07:56+00:00,620.0,154.43,156.18,158.88,0.0,0.0,3.0,3,0.5051319018554687,True,REGULAR,USD,call,2026-09-04,SPY
SPY260904C00630000,2026-08-07 19:02:48+00:00,630.0,144.26,146.14,148.91,0.0,0.0,5.0,6,0.5540816076660158,True,REGULAR,USD,call,2026-09-04,SPY
SPY260904C00635000,2026-08-05 15:46:30+00:00,635.0,140.27,141.25,143.94,0.0,0.0,,10,0.5385788330078126,True,REGULAR,USD,call,2026-09-04,SPY
