ticker,expiry,strike,mid_call,mid_put,lhs,rhs,parity_gap
SPY,2026-09-04,550.0,227.255,0.035,227.22,227.10740517005627,0.11259482994373116
SPY,2026-09-04,560.0,217.325,0.035,217.29,217.1292270395328,0.1607729604671988
SPY,2026-09-04,570.0,207.33,0.045,207.28500000000003,207.15104890900932,0.13395109099070623
SPY,2026-09-04,610.0,167.46,0.0849999999999999,167.375,167.2383363869153,0.13666361308469277
SPY,2026-09-04,635.0,142.595,0.125,142.47,142.2928910606065,0.17710893939349148
SPY,2026-09-04,660.0,117.705,0.195,117.51,117.34744573429771,0.16255426570229758
SPY,2026-09-04,665.0,112.74,0.215,112.52499999999999,112.35835666903597,0.16664333096402117
SPY,2026-09-04,670.0,107.765,0.235,107.53,107.36926760377423,0.16073239622576807
SPY,2026-09-04,675.0,102.79,0.255,102.53500000000001,102.3801785385125,0.15482146148751497
SPY,2026-09-04,680.0,97.85,0.285,97.565,97.39108947325076,0.17391052674923912
SPY,2026-09-04,685.0,92.91,0.315,92.595,92.40200040798902,0.1929995920109775
SPY,2026-09-04,690.0,87.94,0.345,87.595,87.41291134272717,0.1820886572728284
SPY,2026-09-04,692.0,85.975,0.365,85.61,85.4172757166225,0.19272428337750114
SPY,2026-09-04,695.0,83.005,0.385,82.61999999999999,82.42382227746543,0.19617772253455712
SPY,2026-09-04,700.0,78.51,0.425,78.08500000000001,77.4347332122037,0.650266787796312
SPY,2026-09-04,701.0,77.045,0.435,76.61,76.43691539915142,0.17308460084858268
SPY,2026-09-04,703.0,75.065,0.455,74.61,74.44127977304663,0.16872022695336852
SPY,2026-09-04,705.0,73.12,0.475,72.64500000000001,72.44564414694196,0.19935585305805148
SPY,2026-09-04,706.0,72.135,0.49,71.64500000000001,71.44782633388957,0.1971736661104444
SPY,2026-09-04,707.0,71.13,0.505,70.625,70.45000852083729,0.1749914791627134
SPY,2026-09-04,708.0,70.16,0.515,69.645,69.4521907077849,0.19280929221510235
SPY,2026-09-04,709.0,69.14,0.525,68.615,68.4543728947325,0.16062710526749413
SPY,2026-09-04,710.0,68.36,0.535,67.825,67.45655508168022,0.3684449183197813
SPY,2026-09-04,711.0,67.185,0.55,66.635,66.45873726862783,0.17626273137217652
SPY,2026-09-04,712.0,66.22,0.565,65.655,65.46091945557555,0.19408054442445177
SPY,2026-09-04,713.0,65.205,0.575,64.63,64.46310164252316,0.166898357476839
SPY,2026-09-04,714.0,64.255,0.595,63.66,63.46528382947076,0.19471617052923307
SPY,2026-09-04,715.0,63.27,0.605,62.665000000000006,62.467466016418484,0.19753398358152197
SPY,2026-09-04,717.0,61.27,0.64,60.63,60.4718303903137,0.1581696096863041
SPY,2026-09-04,718.0,60.33,0.655,59.675,59.47401257726142,0.20098742273857795
