ticker,expiry,model,params,success,rmse_iv,start_rmse_spread,feller_ok
SPY,2026-09-04,Merton,"sigma=0.102, lam=0.132, mu_j=-0.242, sigma_j=0.200",True,0.005691222397230334,2.2871553014697232e-07,
SPY,2026-09-30,Merton,"sigma=0.103, lam=0.319, mu_j=-0.121, sigma_j=0.121",True,0.005521242410368569,1.2910885112751846e-09,
SPY,2026-12-18,Merton,"sigma=0.113, lam=0.169, mu_j=-0.351, sigma_j=0.249",True,0.005329274710793039,6.474033432350007e-08,
AAPL,2026-09-04,Merton,"sigma=0.188, lam=0.847, mu_j=-0.079, sigma_j=0.153",True,0.019762417329888277,1.538183259354453e-06,
AAPL,2026-09-25,Merton,"sigma=0.206, lam=0.546, mu_j=-0.086, sigma_j=0.184",True,0.002456726132554952,0.00017930990547601177,
AAPL,2026-12-18,Merton,"sigma=0.222, lam=0.323, mu_j=-0.202, sigma_j=0.273",True,0.002421166575115276,1.277054903713569e-07,
SPY,2026-09-04,Heston,"kappa=7.805, theta=0.093, xi=1.201, rho=-0.781, v0=0.001",True,0.013131751227339719,0.010519579418219129,True
SPY,2026-09-30,Heston,"kappa=2.997, theta=0.120, xi=0.850, rho=-0.764, v0=0.001",True,0.013531781635518016,0.0006808779953220503,False
SPY,2026-12-18,Heston,"kappa=0.124, theta=2.000, xi=0.706, rho=-0.854, v0=0.001",True,0.02918866487842871,0.003685212915948286,False
AAPL,2026-09-04,Heston,"kappa=1.337, theta=2.000, xi=2.313, rho=-0.432, v0=0.001",True,0.04323736744420214,2.07817235642338e-10,False
AAPL,2026-09-25,Heston,"kappa=2.979, theta=0.397, xi=1.537, rho=-0.239, v0=0.001",True,0.007861609256327924,0.0006482278679038125,False
AAPL,2026-12-18,Heston,"kappa=0.238, theta=2.000, xi=0.976, rho=-0.404, v0=0.001",True,0.00770377429679862,1.633648754467698e-10,False
