ticker,option_type,moneyness_bucket,n,mean_ee_premium,mean_ee_premium_pct_of_price
AAPL,call,ATM,6,0.0,0.0
AAPL,call,ITM,18,0.0,0.0
AAPL,call,OTM,31,0.0,0.0
AAPL,put,ATM,6,0.12271125053576444,2.33143604564467
AAPL,put,ITM,10,0.7826773474165908,4.566378923083961
AAPL,put,OTM,29,0.014383171406986573,1.699030430967864
SPY,call,ATM,93,0.0,0.0
SPY,call,ITM,176,1.4519990139531687e-08,2.174043244526926e-08
SPY,call,OTM,71,0.0,0.0
SPY,put,ATM,93,0.3195902611759807,3.411643187980372
SPY,put,ITM,19,1.3423557825658265,4.909009694687846
SPY,put,OTM,199,0.036178984347316805,1.9912925793077245
