ticker,dataset,expiry,n,linear_coef,linear_p,curvature_coef,curvature_p,R2
SPY,full,2024-04-05,157,-0.6161060986652246,1.6229322223308412e-34,1.715254037742868,5.4511685427537405e-21,0.9375425817875707
SPY,excl_bottom_quartile_volume,2024-04-05,117,-0.6671348353901175,2.3709951950563527e-33,1.4656584654299836,2.0629795962270764e-16,0.9578403293009161
SPY,full,2024-04-30,288,-0.5398278451132328,2.493641967033421e-51,1.2470639817710751,2.0522379616879938e-26,0.9175066524917328
SPY,excl_bottom_quartile_volume,2024-04-30,180,-0.5375816410068481,2.0783871438626314e-51,1.1072126162903881,1.2754615965292967e-18,0.9322098338013642
SPY,full,2024-07-19,206,-0.3138148016770274,1.4095087474558093e-82,0.8118898802963488,2.6168365815459825e-54,0.9514320624762578
SPY,excl_bottom_quartile_volume,2024-07-19,136,-0.29924715407617364,7.609037963111056e-63,0.7033079681600468,6.708258131416794e-37,0.95621975747855
AAPL,full,2024-04-05,28,-0.14928012985287561,0.00034843500174006303,2.4531815463980475,4.784757654498222e-14,0.9614574592688092
AAPL,excl_bottom_quartile_volume,2024-04-05,21,-0.17171646512868044,3.7523705995242186e-05,2.8834572374766556,1.2688796876972625e-11,0.9624827038621562
AAPL,full,2024-04-26,26,-0.1412558749243783,2.663955491331471e-05,1.9943743703544952,1.7193471695096492e-12,0.941289810750254
AAPL,excl_bottom_quartile_volume,2024-04-26,19,-0.17689155890649766,1.1278763536090287e-11,2.002761044586295,7.880631565073579e-14,0.9799589616917345
AAPL,full,2024-07-19,46,-0.12084631880445017,8.21043407247498e-14,0.5084208008731814,3.1003959231650538e-12,0.8208669276895998
AAPL,excl_bottom_quartile_volume,2024-07-19,34,-0.11562419466097447,2.918555098807128e-07,0.49269342414781114,7.080541244559589e-07,0.6634963736623306
